original_name,lake,county,notes,,,,,
Silverwood Lake,Silverwood Lake,San Bernardino,,,,,,
Silverwood lake,Silverwood Lake,San Bernardino,,,,,,
Silver wood,Silverwood Lake,San Bernardino,,,,,,
Skinner Lake,Lake Skinner,Riverside,,,,,,
Statewide,Statewide,Statewide,,,,,,
Steelwater,No match,,Maybe stillwater?,,,,,
Tri-City,Tri-City Regional Park,Orange,,,,,,
Tri-city,Tri-City Regional Park,Orange,,,,,,
Tri-City Regional Park,Tri-City Regional Park,Orange,,,,,,
Tri-City Regional Parkk,Tri-City Regional Park,Orange,,,,,,
Tri-City Park,Tri-City Regional Park,Orange,,,,,,
unknown,Unknown,,,,,,,
Unknown,Unknown,,,,,,,
Val Verde,No match,,,,,,,
Wilderness Park,No match,,,,,,,
Yorba Linda,No match,,,,,,,
Yorba Linda Regional Park,Yorba Linda Regional Park,Orange,,,,,,
Rosemead,No match,,,,,,,
A lake in Ontario CA,No match,,,,,,,
El Monte,No match,,,,,,,
Gravel pit (near Peck),No match,,,,,,,
Doesn't remember names,No match,,,,,,,
Los Angeles lakes (many),Los Angeles lakes (many),,,,,,,
San Gabriel River,No match,,,,,,,
Santa Anita wash,No match,,,,,,,
The wilderness park,No match,,,,,,,
The LA river,No match,,,,,,,
Ontario,No match,,,,,,,jj 
